코드구분,코드,코드명
지역(시도),11,서울
지역(시도),21,부산
지역(시도),22,인천
지역(시도),23,대구
지역(시도),24,광주
지역(시도),25,대전
지역(시도),26,울산
지역(시도),31,경기
지역(시도),32,강원
지역(시도),33,충북
지역(시도),34,충남
지역(시도),35,전북
지역(시도),36,전남
지역(시도),37,경북
지역(시도),38,경남
지역(시도),39,제주
지역(시도),41,세종
지역(시군구),110001,강남구
지역(시군구),110002,강동구
지역(시군구),110003,강서구
지역(시군구),110004,관악구
지역(시군구),110005,구로구
지역(시군구),110006,도봉구
지역(시군구),110007,동대문구
지역(시군구),110008,동작구
지역(시군구),110009,마포구
지역(시군구),110010,서대문구
지역(시군구),110011,성동구
지역(시군구),110012,성북구
지역(시군구),110013,영등포구
지역(시군구),110014,용산구
지역(시군구),110015,은평구
지역(시군구),110016,종로구
지역(시군구),110017,중구
지역(시군구),110018,송파구
지역(시군구),110019,중랑구
지역(시군구),110020,양천구
지역(시군구),110021,서초구
지역(시군구),110022,노원구
지역(시군구),110023,광진구
지역(시군구),110024,강북구
지역(시군구),110025,금천구
지역(시군구),210001,부산남구
지역(시군구),210002,부산동구
지역(시군구),210003,부산동래구
지역(시군구),210004,부산진구
지역(시군구),210005,부산북구
지역(시군구),210006,부산서구
지역(시군구),210007,부산영도구
지역(시군구),210008,부산중구
지역(시군구),210009,부산해운대구
지역(시군구),210010,부산사하구
지역(시군구),210011,부산금정구
지역(시군구),210012,부산강서구
지역(시군구),210013,부산연제구
지역(시군구),210014,부산수영구
지역(시군구),210015,부산사상구
지역(시군구),210100,부산기장군
지역(시군구),220001,인천미추홀구
지역(시군구),220002,인천동구
지역(시군구),220003,인천부평구
지역(시군구),220004,인천중구
지역(시군구),220005,인천서구
지역(시군구),220006,인천남동구
지역(시군구),220007,인천연수구
지역(시군구),220008,인천계양구
지역(시군구),220100,인천강화군
지역(시군구),220200,인천옹진군
지역(시군구),230001,대구남구
지역(시군구),230002,대구동구
지역(시군구),230003,대구북구
지역(시군구),230004,대구서구
지역(시군구),230005,대구수성구
지역(시군구),230006,대구중구
지역(시군구),230007,대구달서구
지역(시군구),230100,대구달성군
지역(시군구),230200,대구군위군
지역(시군구),240001,광주동구
지역(시군구),240002,광주북구
지역(시군구),240003,광주서구
지역(시군구),240004,광주광산구
지역(시군구),240005,광주남구
지역(시군구),250001,대전유성구
지역(시군구),250002,대전대덕구
지역(시군구),250003,대전서구
지역(시군구),250004,대전동구
지역(시군구),250005,대전중구
지역(시군구),260001,울산남구
지역(시군구),260002,울산동구
지역(시군구),260003,울산중구
지역(시군구),260004,울산북구
지역(시군구),260100,울산울주군
지역(시군구),310001,가평군
지역(시군구),310002,강화군
지역(시군구),310006,시흥시
지역(시군구),310008,양주군
지역(시군구),310009,양평군
지역(시군구),310010,여주군
지역(시군구),310011,연천군
지역(시군구),310012,옹진군
지역(시군구),310016,평택군
지역(시군구),310017,포천군
지역(시군구),310100,광명시
지역(시군구),310200,동두천시
지역(시군구),310300,부천시
지역(시군구),310301,부천소사구
지역(시군구),310302,부천오정구
지역(시군구),310303,부천원미구
지역(시군구),310401,성남수정구
지역(시군구),310402,성남중원구
지역(시군구),310403,성남분당구
지역(시군구),310500,송탄시
지역(시군구),310600,수원시
지역(시군구),310601,수원권선구
지역(시군구),310602,수원장안구
지역(시군구),310603,수원팔달구
지역(시군구),310604,수원영통구
지역(시군구),310701,안양만안구
지역(시군구),310702,안양동안구
지역(시군구),310800,의정부시
지역(시군구),310900,과천시
지역(시군구),311000,구리시
지역(시군구),311100,안산시
지역(시군구),311101,안산단원구
지역(시군구),311102,안산상록구
지역(시군구),311200,평택시
지역(시군구),311300,하남시
지역(시군구),311400,군포시
지역(시군구),311500,남양주시
지역(시군구),311600,의왕시
지역(시군구),311700,시흥시
지역(시군구),311800,오산시
지역(시군구),311901,고양덕양구
지역(시군구),311902,고양일산서구
지역(시군구),311903,고양일산동구
지역(시군구),312000,용인시
지역(시군구),312001,용인기흥구
지역(시군구),312002,용인수지구
지역(시군구),312003,용인처인구
지역(시군구),312100,이천시
지역(시군구),312200,파주시
지역(시군구),312300,김포시
지역(시군구),312400,안성시
지역(시군구),312500,화성시
지역(시군구),312600,광주시
지역(시군구),312700,양주시
지역(시군구),312800,포천시
지역(시군구),312900,여주시
지역(시군구),320001,고성군
지역(시군구),320004,양구군
지역(시군구),320005,양양군
지역(시군구),320006,영월군
지역(시군구),320008,인제군
지역(시군구),320009,정선군
지역(시군구),320010,철원군
지역(시군구),320012,평창군
지역(시군구),320013,홍천군
지역(시군구),320014,화천군
지역(시군구),320015,횡성군
지역(시군구),320100,강릉시
지역(시군구),320200,동해시
지역(시군구),320300,속초시
지역(시군구),320400,원주시
지역(시군구),320500,춘천시
지역(시군구),320600,태백시
지역(시군구),320700,삼척시
지역(시군구),330001,괴산군
지역(시군구),330002,단양군
지역(시군구),330003,보은군
지역(시군구),330004,영동군
지역(시군구),330005,옥천군
지역(시군구),330006,음성군
지역(시군구),330007,제천군
지역(시군구),330009,진천군
지역(시군구),330010,청원군
지역(시군구),330011,증평군
지역(시군구),330100,청주시
지역(시군구),330101,청주상당구
지역(시군구),330102,청주흥덕구
지역(시군구),330103,청주청원구
지역(시군구),330104,청주서원구
지역(시군구),330200,충주시
지역(시군구),330300,제천시
지역(시군구),340002,금산군
지역(시군구),340004,당진군
지역(시군구),340007,부여군
지역(시군구),340009,서천군
지역(시군구),340011,연기군
지역(시군구),340012,예산군
지역(시군구),340013,천안군
지역(시군구),340014,청양군
지역(시군구),340015,홍성군
지역(시군구),340016,태안군
지역(시군구),340200,천안시
지역(시군구),340201,천안서북구
지역(시군구),340202,천안동남구
지역(시군구),340300,공주시
지역(시군구),340400,보령시
지역(시군구),340500,아산시
지역(시군구),340600,서산시
지역(시군구),340700,논산시
지역(시군구),340800,계룡시
지역(시군구),340900,당진시
지역(시군구),350001,고창군
지역(시군구),350004,무주군
지역(시군구),350005,부안군
지역(시군구),350006,순창군
지역(시군구),350008,완주군
지역(시군구),350009,익산군
지역(시군구),350010,임실군
지역(시군구),350011,장수군
지역(시군구),350013,진안군
지역(시군구),350100,군산시
지역(시군구),350200,남원시
지역(시군구),350300,익산시
지역(시군구),350400,전주시
지역(시군구),350401,전주완산구
지역(시군구),350402,전주덕진구
지역(시군구),350500,정읍시
지역(시군구),350600,김제시
지역(시군구),360001,강진군
지역(시군구),360002,고흥군
지역(시군구),360003,곡성군
지역(시군구),360006,구례군
지역(시군구),360008,담양군
지역(시군구),360009,무안군
지역(시군구),360010,보성군
지역(시군구),360012,신안군
지역(시군구),360014,영광군
지역(시군구),360015,영암군
지역(시군구),360016,완도군
지역(시군구),360017,장성군
지역(시군구),360018,장흥군
지역(시군구),360019,진도군
지역(시군구),360020,함평군
지역(시군구),360021,해남군
지역(시군구),360022,화순군
지역(시군구),360200,나주시
지역(시군구),360300,목포시
지역(시군구),360400,순천시
지역(시군구),360500,여수시
지역(시군구),360700,광양시
지역(시군구),370002,고령군
지역(시군구),370003,군위군
지역(시군구),370005,달성군
지역(시군구),370007,봉화군
지역(시군구),370010,성주군
지역(시군구),370012,영덕군
지역(시군구),370013,영양군
지역(시군구),370014,영일군
지역(시군구),370017,예천군
지역(시군구),370018,울릉군
지역(시군구),370019,울진군
지역(시군구),370021,의성군
지역(시군구),370022,청도군
지역(시군구),370023,청송군
지역(시군구),370024,칠곡군
지역(시군구),370100,경주시
지역(시군구),370200,구미시
지역(시군구),370300,김천시
지역(시군구),370400,안동시
지역(시군구),370500,영주시
지역(시군구),370600,영천시
지역(시군구),370700,포항시
지역(시군구),370701,포항남구
지역(시군구),370702,포항북구
지역(시군구),370800,문경시
지역(시군구),370900,상주시
지역(시군구),371000,경산시
지역(시군구),380002,거창군
지역(시군구),380003,고성군
지역(시군구),380004,김해군
지역(시군구),380005,남해군
지역(시군구),380007,사천군
지역(시군구),380008,산청군
지역(시군구),380011,의령군
지역(시군구),380012,창원군
지역(시군구),380014,창녕군
지역(시군구),380016,하동군
지역(시군구),380017,함안군
지역(시군구),380018,함양군
지역(시군구),380019,합천군
지역(시군구),380100,김해시
지역(시군구),380200,마산시
지역(시군구),380300,사천시
지역(시군구),380500,진주시
지역(시군구),380600,진해시
지역(시군구),380700,창원시
지역(시군구),380701,창원마산회원구
지역(시군구),380702,창원마산합포구
지역(시군구),380703,창원진해구
지역(시군구),380704,창원의창구
지역(시군구),380705,창원성산구
지역(시군구),380800,통영시
지역(시군구),380900,밀양시
지역(시군구),381000,거제시
지역(시군구),381100,양산시
지역(시군구),390001,남제주군
지역(시군구),390002,북제주군
지역(시군구),390100,서귀포시
지역(시군구),390200,제주시
지역(시군구),410000,세종시
